gene,logFC,pval,pval_adj
10023804768,0.084580746502595,3.1536816952271475e-26,
10023804772,-0.03200341890214095,3.627606249806077e-07,
10023804773,0.06957887574510684,3.1967766096350033e-25,
10023804778,0.020377235286329978,0.009495929701280667,
10023804779,0.028467176384299374,1.1125523460035091e-10,
10023804780,0.11836737212497228,9.859603115799974e-12,
10023804781,0.02244156737009144,0.0064480876564069495,
10023804783,0.020036931272757352,0.02481520845213057,
10023804784,-0.07043426960017465,1.225147805741404e-05,
10023804785,-0.005522035691319083,0.5945033696809616,
10023804787,0.01072477473089583,0.11542982591165796,
10023804789,-0.05166595776784878,2.6169587451345977e-09,
10023804792,-0.08039173837802241,1.3542906377346976e-24,
10023804793,-0.07098343867663037,2.6300463717183835e-20,
10023804794,-0.05513700819773988,1.1971221647314807e-13,
10023804796,-0.2230385864593405,1.0512113524889536e-56,
10023804798,0.036996514144351976,2.262826189359202e-08,
10023804799,-0.062403786845987255,5.4336158802767517e-08,
10023804800,-0.00475523084693652,0.2722487947789076,
10023804801,-0.013054832912870351,0.2317668195738644,
10023804804,0.047577783348596664,8.902646383519952e-08,
10023804805,0.054287624853256625,1.3777196154305915e-07,
10023804807,-0.08232905376328128,1.6182789467574857e-17,
10023804814,0.023703554016529696,0.005850534906045529,
10023804816,-0.18398536859696937,2.2964534980450965e-36,
10023804821,0.12192174024458391,3.624465867289841e-24,
10023804824,-0.024195983266637147,3.1485390941858775e-05,
10023804827,0.0018092808796111566,0.7659057264376673,
10023804828,-0.015694467798917196,0.07413469954212061,
10023804829,-0.04965257694098007,2.109570120417839e-24,
10023804833,-0.02440622326908977,3.201556829762802e-05,
10023804836,-0.01520720926214506,0.0020309875210920074,
10023804837,-0.007966690549303462,0.32706115441451755,
10023804838,0.12853915324431273,1.4659357329811772e-29,
10023804839,-0.035343683321335514,0.00039228882155923104,
10023804841,-0.0015935542371111576,0.6038169499298404,
10023804843,0.09588779674665092,9.435234042389516e-32,
10023804845,-0.2160691786562564,1.6386632665542456e-21,
10023804846,-0.05960282641995891,1.600701744583409e-14,
10023804849,0.059833309704335313,8.607708989225235e-14,
10023804852,0.019417999208556604,0.0027169310797008008,
10023804861,-0.10662427622994453,8.931393086685298e-30,
10023804862,-0.15285258386515307,6.404896437488137e-32,
10023804866,0.05007141768177107,2.923213591666237e-07,
10023804867,0.04610833579553933,0.0005024584833878187,
10023804868,0.04134391315619684,0.0002428357940829537,
10023804873,0.08817005443417875,7.938915324634938e-13,
10023804874,-0.033173173543712756,0.0001418186767673057,
10023804877,-0.044223730727510374,3.965979991039523e-15,
10023804880,-0.0017472692415615373,0.5668182614998105,
10023804883,-3.5974477984410114e-05,0.9975233206622945,
10023804886,0.025794565807795357,0.00017649137610877154,
10023804894,0.05669498970863777,3.519364005260829e-08,
10023804899,-0.006200279168504214,0.2790692751322884,
10023804902,0.004578927927980276,0.5974188056474774,
10023804905,-0.09731491771856379,1.1059545729706069e-17,
10023804906,-0.10666219079843842,1.3250203123614881e-08,
10023804907,-0.08362559676512636,4.391468627214393e-28,
10023804908,0.011896124329139099,0.006069680718569725,
10023804909,-0.013848880644923268,0.2144377631334623,
10023804910,0.013480970531047881,0.23344551892334084,
